,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
0,Acta2,,0.0,Acta2,,0.0
1,Mt2,,0.0,Mt2,,0.0
2,Tagln,,0.0,Tagln,,0.0
3,Myl9,,0.0,Myl9,,0.0
4,Cnn2,,0.0,Cnn2,,0.0
5,Dppa5a,,0.0,Dppa5a,,0.0
6,Mt1,,0.0,Mt1,,0.0
7,Tpm4,,0.0,Tpm4,,0.0
8,Rhox5,,0.0,Rhox5,,0.0
9,S100a6,,0.0,S100a6,,0.0
10,Serpinh1,,0.0,Serpinh1,,0.0
11,Anxa2,,0.0,Anxa2,,0.0
12,Chchd10,,0.0,Chchd10,,0.0
13,Tpm1,,0.0,Tpm1,,0.0
14,Gsta4,,0.0,Gsta4,,0.0
15,Col1a2,,0.0,Col1a2,,0.0
16,Anxa1,,0.0,Anxa1,,0.0
17,Prss23,,0.0,Prss23,,0.0
18,Lgals1,,0.0,Lgals1,,0.0
19,Col1a1,,0.0,Col1a1,,0.0
20,Vim,,0.0,Vim,,0.0
21,Anxa3,,0.0,Anxa3,,0.0
22,Cald1,,0.0,Cald1,,0.0
23,Bex1,,0.0,Bex1,,0.0
24,Tubb6,,0.0,Tubb6,,0.0
25,Mylpf,,0.0,Mylpf,,0.0
26,Pfn1,,0.0,Pfn1,,0.0
27,Lmna,,0.0,Lmna,,0.0
28,Actn1,,0.0,Actn1,,0.0
29,Anxa5,,0.0,Anxa5,,0.0
30,Sod2,,0.0,Sod2,,0.0
31,Tpm2,,0.0,Tpm2,,0.0
32,Lox,,0.0,Lox,,0.0
33,Fabp3,,0.0,Fabp3,,0.0
34,Loxl1,,0.0,Loxl1,,0.0
35,Gsto1,,0.0,Gsto1,,0.0
36,Serpine1,,0.0,Serpine1,,0.0
37,Myl12a,,0.0,Myl12a,,0.0
38,Fbln2,,0.0,Fbln2,,0.0
39,Thbs1,,0.0,Thbs1,,0.0
40,Bgn,,0.0,Bgn,,0.0
41,Fstl1,,0.0,Fstl1,,0.0
42,AA467197,,0.0,AA467197,,0.0
43,Actb,,0.0,Actb,,0.0
44,Cyr61,,0.0,Cyr61,,0.0
45,Wfdc2,,0.0,Wfdc2,,0.0
46,Ass1,,0.0,Ass1,,0.0
47,Hsp90aa1,,0.0,Hsp90aa1,,0.0
48,Cnn1,,0.0,Cnn1,,0.0
49,Ckap4,,0.0,Ckap4,,0.0
50,Rpl18,,0.0,Rpl18,,0.0
51,Mkrn1,,0.0,Mkrn1,,0.0
52,Rhoc,,0.0,Rhoc,,0.0
53,Myl6,,0.0,Myl6,,0.0
54,Meg3,,0.0,Meg3,,0.0
55,Trap1a,,0.0,Trap1a,,0.0
56,Calcoco2,,0.0,Calcoco2,,0.0
57,Zyx,,0.0,Zyx,,0.0
58,Id3,,0.0,Id3,,0.0
59,Timp2,,0.0,Timp2,,0.0
60,Ckb,,0.0,Ckb,,0.0
61,Rplp2,,0.0,Rplp2,,0.0
62,Tuba1a,,0.0,Tuba1a,,0.0
63,Pdlim7,,0.0,Pdlim7,,0.0
64,Tdgf1,,0.0,Tdgf1,,0.0
65,Jam2,,0.0,Jam2,,0.0
66,Bex4,,0.0,Bex4,,0.0
67,Gabarapl2,,0.0,Gabarapl2,,0.0
68,Tnfrsf12a,,0.0,Tnfrsf12a,,0.0
69,Ube2a,,0.0,Ube2a,,0.0
70,Pycard,,0.0,Pycard,,0.0
71,Cav1,,0.0,Cav1,,0.0
72,Tspo,,0.0,Tspo,,0.0
73,Flna,,0.0,Flna,,0.0
74,Rtn4,,0.0,Rtn4,,0.0
75,Gpx8,,0.0,Gpx8,,0.0
76,Dhx16,,0.0,Dhx16,,0.0
77,Cox5a,,0.0,Cox5a,,0.0
78,Ooep,,0.0,Ooep,,0.0
79,Calm1,,0.0,Calm1,,0.0
80,Ilk,,0.0,Ilk,,0.0
81,Syngr1,,0.0,Syngr1,,0.0
82,Fkbp1a,,0.0,Fkbp1a,,0.0
83,Cthrc1,,0.0,Cthrc1,,0.0
84,Klf2,,0.0,Klf2,,0.0
85,Rpl14,,0.0,Rpl14,,0.0
86,Asns,,0.0,Asns,,0.0
87,S100a11,,0.0,S100a11,,0.0
88,Cox7b,,0.0,Cox7b,,0.0
89,Fscn1,,0.0,Fscn1,,0.0
90,Upp1,,0.0,Upp1,,0.0
91,Tagln2,,0.0,Tagln2,,0.0
92,Rps17,,0.0,Rps17,,0.0
93,Rpl10,,0.0,Rpl10,,0.0
94,Col5a2,,0.0,Col5a2,,0.0
95,Rps20,,0.0,Rps20,,0.0
96,Rps13,,0.0,Rps13,,0.0
97,Col5a1,,0.0,Col5a1,,0.0
98,Rps10,,0.0,Rps10,,0.0
99,Prps1,,0.0,Prps1,,0.0
100,Clic1,,0.0,Clic1,,0.0
101,Rcn3,,0.0,Rcn3,,0.0
102,Fkbp10,,0.0,Fkbp10,,0.0
103,Eif2s2,,0.0,Eif2s2,,0.0
104,Rps11,,0.0,Rps11,,0.0
105,Emp3,,0.0,Emp3,,0.0
106,Nanog,,0.0,Nanog,,0.0
107,Pmm1,,0.0,Pmm1,,0.0
108,Fau,,0.0,Fau,,0.0
109,Atp5g1,,0.0,Atp5g1,,0.0
110,Rps23,,0.0,Rps23,,0.0
111,Arl6ip5,,0.0,Arl6ip5,,0.0
112,Snx7,,0.0,Snx7,,0.0
113,Sparc,,0.0,Sparc,,0.0
114,Hspb1,,0.0,Hspb1,,0.0
115,2810417H13Rik,,0.0,2810417H13Rik,,0.0
116,Igfbp7,,0.0,Igfbp7,,0.0
117,Oaf,,0.0,Oaf,,0.0
118,Apoe,,0.0,Apoe,,0.0
119,Efemp2,,0.0,Efemp2,,0.0
120,Gsn,,0.0,Gsn,,0.0
121,Rps3,,0.0,Rps3,,0.0
122,Itgb1,,0.0,Itgb1,,0.0
123,Sri,,0.0,Sri,,0.0
124,Gnas,,0.0,Gnas,,0.0
125,Rpl22,,0.0,Rpl22,,0.0
126,Capn2,,0.0,Capn2,,0.0
127,Rpl23,,0.0,Rpl23,,0.0
128,Col3a1,,0.0,Col3a1,,0.0
129,Ccnd2,,0.0,Ccnd2,,0.0
130,Tmsb4x,,0.0,Tmsb4x,,0.0
131,Gadd45g,,0.0,Gadd45g,,0.0
132,Csrp1,,0.0,Csrp1,,0.0
133,Slc2a3,,0.0,Slc2a3,,0.0
134,Wdr1,,0.0,Wdr1,,0.0
135,Rplp1,,0.0,Rplp1,,0.0
136,Rpl32,,0.0,Rpl32,,0.0
137,Rpl8,,0.0,Rpl8,,0.0
138,Aqp3,,0.0,Aqp3,,0.0
139,Hsp90ab1,,0.0,Hsp90ab1,,0.0
140,E130012A19Rik,,0.0,E130012A19Rik,,0.0
141,1700013H16Rik,,0.0,1700013H16Rik,,0.0
142,S100a13,,0.0,S100a13,,0.0
143,Axl,,0.0,Axl,,0.0
144,Ptrf,,0.0,Ptrf,,0.0
145,Taf7,,0.0,Taf7,,0.0
146,Rps24,,0.0,Rps24,,0.0
147,Gm13580,,0.0,Gm13580,,0.0
148,Rps18,,0.0,Rps18,,0.0
149,Grb10,,0.0,Grb10,,0.0
150,Plaur,,0.0,Plaur,,0.0
151,Abracl,,0.0,Abracl,,0.0
152,Prkcdbp,,0.0,Prkcdbp,,0.0
153,Rps8,,0.0,Rps8,,0.0
154,Rpl19,,0.0,Rpl19,,0.0
155,Rpl36a,,0.0,Rpl36a,,0.0
156,Dctpp1,,0.0,Dctpp1,,0.0
157,Rhox6,,0.0,Rhox6,,0.0
158,Rps12,,0.0,Rps12,,0.0
159,Lpp,,0.0,Lpp,,0.0
160,Tgfb1i1,,0.0,Tgfb1i1,,0.0
161,Renbp,,0.0,Renbp,,0.0
162,Rhox1,,0.0,Rhox1,,0.0
163,Rpp25,,0.0,Rpp25,,0.0
164,Rpl21,,0.0,Rpl21,,0.0
165,Marc2,,0.0,Marc2,,0.0
166,Hat1,,0.0,Hat1,,0.0
167,Glipr2,,0.0,Glipr2,,0.0
168,Rps27a,,0.0,Rps27a,,0.0
169,Cpe,,0.0,Cpe,,0.0
170,Rps4x,,0.0,Rps4x,,0.0
171,Esd,,0.0,Esd,,0.0
172,Cd44,,0.0,Cd44,,0.0
173,Tnc,,0.0,Tnc,,0.0
174,Rps16,,0.0,Rps16,,0.0
175,Rcn2,,0.0,Rcn2,,0.0
176,Copz2,,0.0,Copz2,,0.0
177,Sdpr,,0.0,Sdpr,,0.0
178,Selm,,0.0,Selm,,0.0
179,Rpl11,,0.0,Rpl11,,0.0
180,Rps5,,0.0,Rps5,,0.0
181,Fkbp6,,0.0,Fkbp6,,0.0
182,Pea15a,,0.0,Pea15a,,0.0
183,Dppa3,,0.0,Dppa3,,0.0
184,Rpl30,,0.0,Rpl30,,0.0
185,Folr1,,0.0,Folr1,,0.0
186,Fn1,,0.0,Fn1,,0.0
187,Tspan4,,0.0,Tspan4,,0.0
188,Rps9,,0.0,Rps9,,0.0
189,Morc1,,0.0,Morc1,,0.0
190,Rpl23a,,0.0,Rpl23a,,0.0
191,Phlda1,,0.0,Phlda1,,0.0
192,Rhox9,,0.0,Rhox9,,0.0
193,Fmr1nb,,0.0,Fmr1nb,,0.0
194,Chmp4c,,0.0,Chmp4c,,0.0
195,Ifitm1,,0.0,Ifitm1,,0.0
196,Msn,,0.0,Msn,,0.0
197,Gjb3,,0.0,Gjb3,,0.0
198,Rpl28,,0.0,Rpl28,,0.0
199,Lhfp,,0.0,Lhfp,,0.0
200,Rps7,,0.0,Rps7,,0.0
201,Cystm1,,0.0,Cystm1,,0.0
202,Arhgdib,,0.0,Arhgdib,,0.0
203,Agtrap,,0.0,Agtrap,,0.0
204,Cdc5l,,0.0,Cdc5l,,0.0
205,Impa2,,0.0,Impa2,,0.0
206,Hspe1,,0.0,Hspe1,,0.0
207,Bex2,,0.0,Bex2,,0.0
208,Pcolce,,0.0,Pcolce,,0.0
209,Cisd1,,0.0,Cisd1,,0.0
210,Rexo2,,0.0,Rexo2,,0.0
211,Nhp2,,0.0,Nhp2,,0.0
212,F3,,0.0,F3,,0.0
213,Ankrd1,,0.0,Ankrd1,,0.0
214,Nr2c2ap,,0.0,Nr2c2ap,,0.0
215,Actg2,,0.0,Actg2,,0.0
216,Ldhb,,0.0,Ldhb,,0.0
217,Hmgn3,,0.0,Hmgn3,,0.0
218,Itga5,,0.0,Itga5,,0.0
219,Tex19.1,,0.0,Tex19.1,,0.0
220,Loxl2,,0.0,Loxl2,,0.0
221,Vcl,,0.0,Vcl,,0.0
222,Fhl1,,0.0,Fhl1,,0.0
223,Crlf1,,0.0,Crlf1,,0.0
224,Cd9,,0.0,Cd9,,0.0
225,Nfatc2ip,,0.0,Nfatc2ip,,0.0
226,Thy1,,0.0,Thy1,,0.0
227,Gcat,,0.0,Gcat,,0.0
228,Mrps24,,0.0,Mrps24,,0.0
229,Arpc5,,0.0,Arpc5,,0.0
230,Emp1,,0.0,Emp1,,0.0
231,Ahnak,,0.0,Ahnak,,0.0
232,Calu,,0.0,Calu,,0.0
233,Rpl12,,0.0,Rpl12,,0.0
234,Rbms1,,0.0,Rbms1,,0.0
235,Fkbp3,,0.0,Fkbp3,,0.0
236,Mtf2,,0.0,Mtf2,,0.0
237,Fhl2,,0.0,Fhl2,,0.0
238,Cfl1,,0.0,Cfl1,,0.0
